Country,Seeds,Coverage_5hop_%,TTFI_5hop_s,Coverage_10hop_%,TTFI_10hop_s
SE (.se),500,100.0,9.880837874867762,100.0,9.880837874867762
SE (.se),1000,100.0,9.02585614393912,100.0,9.02585614393912
SE (.se),2000,100.0,8.171285153743765,100.0,8.171285153743765
SE (.se),5000,100.0,7.042979667723027,100.0,7.042979667723027
